CODTOUR,DATETOUR,JOUR,NBEXP
A001,15-10-2020,JEUDI,167
A001,16-10-2020,VENDREDI,201
A001,17-10-2020,SAMEDI,180
A001,18-10-2020,DIMANCHE,163
A001,19-10-2020,LUNDI,163
A001,20-10-2020,MARDI,166
A001,21-10-2020,MERCREDI,166
A003,15-10-2020,JEUDI,122
A003,16-10-2020,VENDREDI,133
A003,17-10-2020,SAMEDI,135
A003,18-10-2020,DIMANCHE,128
A003,19-10-2020,LUNDI,119
A003,20-10-2020,MARDI,121
A003,21-10-2020,MERCREDI,121
A004,15-10-2020,JEUDI,126
A004,16-10-2020,VENDREDI,138
A004,17-10-2020,SAMEDI,144
A004,18-10-2020,DIMANCHE,141
A004,19-10-2020,LUNDI,124
A004,20-10-2020,MARDI,126
A004,21-10-2020,MERCREDI,125
A005,15-10-2020,JEUDI,171
A005,16-10-2020,VENDREDI,185
A005,17-10-2020,SAMEDI,188
A005,18-10-2020,DIMANCHE,186
A005,19-10-2020,LUNDI,169
A005,20-10-2020,MARDI,169
A005,21-10-2020,MERCREDI,169
A006,15-10-2020,JEUDI,229
A006,16-10-2020,VENDREDI,249
A006,17-10-2020,SAMEDI,242
A006,18-10-2020,DIMANCHE,237
A006,19-10-2020,LUNDI,228
A006,20-10-2020,MARDI,231
A006,21-10-2020,MERCREDI,231
A007,15-10-2020,JEUDI,119
A007,16-10-2020,VENDREDI,145
A007,17-10-2020,SAMEDI,140
A007,18-10-2020,DIMANCHE,134
A007,19-10-2020,LUNDI,120
A007,20-10-2020,MARDI,121
A007,21-10-2020,MERCREDI,121
A008,15-10-2020,JEUDI,100
A008,16-10-2020,VENDREDI,106
A008,17-10-2020,SAMEDI,108
A008,18-10-2020,DIMANCHE,104
A008,19-10-2020,LUNDI,98
A008,20-10-2020,MARDI,100
A008,21-10-2020,MERCREDI,100
A012,15-10-2020,JEUDI,113
A012,16-10-2020,VENDREDI,124
A012,17-10-2020,SAMEDI,127
A012,18-10-2020,DIMANCHE,121
A012,19-10-2020,LUNDI,111
A012,20-10-2020,MARDI,112
A012,21-10-2020,MERCREDI,111
A013,15-10-2020,JEUDI,157
A013,16-10-2020,VENDREDI,168
A013,17-10-2020,SAMEDI,164
A013,18-10-2020,DIMANCHE,133
A013,19-10-2020,LUNDI,153
A013,20-10-2020,MARDI,157
A013,21-10-2020,MERCREDI,157
A014,15-10-2020,JEUDI,100
A014,16-10-2020,VENDREDI,109
A014,17-10-2020,SAMEDI,101
A014,18-10-2020,DIMANCHE,88
A014,19-10-2020,LUNDI,96
A014,20-10-2020,MARDI,99
A014,21-10-2020,MERCREDI,99
A015,15-10-2020,JEUDI,219
A015,16-10-2020,VENDREDI,243
A015,17-10-2020,SAMEDI,231
A015,18-10-2020,DIMANCHE,210
A015,19-10-2020,LUNDI,215
A015,20-10-2020,MARDI,221
A015,21-10-2020,MERCREDI,221
A017,15-10-2020,JEUDI,141
A017,16-10-2020,VENDREDI,146
A017,17-10-2020,SAMEDI,139
A017,18-10-2020,DIMANCHE,130
A017,19-10-2020,LUNDI,137
A017,20-10-2020,MARDI,140
